slot	Channel	Tx	Rx	flowid
2603	26	114	119	5
2606	23	119	112	5
2612	22	112	117	5
2614	21	117	126	5
2637	25	126	121	5
2650	20	121	126	5
2652	26	126	117	5
2654	22	117	112	5
2656	21	112	119	5
2658	25	119	114	5
2660	24	114	135	5
2601	25	137	110	6
2604	22	110	112	6
2630	26	112	117	6
2632	22	117	126	6
2654	23	126	121	6
2663	20	121	108	6
2801	20	147	143	1
2803	26	143	139	1
2805	22	139	144	1
2806	23	139	144	1
2807	21	144	109	1
2809	25	109	101	1
2811	24	101	121	1
2819	22	121	126	1
2821	21	126	117	1
2823	25	117	146	1
2801	25	144	109	2
2803	24	109	101	2
2805	23	101	121	2
2823	26	121	101	2
2825	22	101	109	2
2827	21	109	144	2
2829	25	144	139	2
2831	24	139	143	2
2806	20	105	109	3
2818	23	109	101	3
2828	25	101	121	3
2833	21	121	123	3
2835	25	123	104	3
2801	24	149	117	4
2803	23	117	126	4
2817	23	126	121	4
2839	21	121	101	4
2841	25	101	102	4
2801	22	136	114	5
2803	21	114	119	5
2806	26	119	112	5
2812	25	112	117	5
2814	24	117	126	5
2837	23	126	121	5
2850	22	121	126	5
2852	21	126	117	5
2854	25	117	112	5
2856	24	112	119	5
2858	23	119	114	5
2860	20	114	135	5
2801	23	137	110	6
2804	25	110	112	6
2830	21	112	117	6
2832	25	117	126	6
2854	26	126	121	6
2863	22	121	108	6
3001	22	147	143	1
3003	21	143	139	1
3005	25	139	144	1
3007	24	144	109	1
3009	23	109	101	1
3011	20	101	121	1
3019	25	121	126	1
3021	24	126	117	1
3023	23	117	146	1
3001	23	144	109	2
3003	20	109	101	2
3005	26	101	121	2
3006	24	101	121	2
3023	21	121	101	2
3025	25	101	109	2
3027	24	109	144	2
3029	23	144	139	2
3031	20	139	143	2
3006	22	105	109	3
3018	26	109	101	3
3028	23	101	121	3
3033	24	121	123	3
3035	23	123	104	3
3001	20	149	117	4
3003	26	117	126	4
3017	26	126	121	4
3039	24	121	101	4
3041	23	101	102	4
3001	25	136	114	5
3003	24	114	119	5
3006	21	119	112	5
3012	23	112	117	5
3014	20	117	126	5
3037	26	126	121	5
3050	25	121	126	5
3052	24	126	117	5
3054	23	117	112	5
3056	20	112	119	5
3058	26	119	114	5
3060	22	114	135	5
3001	26	137	110	6
3004	23	110	112	6
3030	24	112	117	6
3032	23	117	126	6
3054	21	126	121	6
3063	25	121	108	6
3201	25	147	143	1
3203	24	143	139	1
3205	23	139	144	1
3207	20	144	109	1
3209	26	109	101	1
3211	22	101	121	1
3219	23	121	126	1
3221	20	126	117	1
3223	26	117	146	1
3201	26	144	109	2
3203	22	109	101	2
3205	21	101	121	2
3223	24	121	101	2
3225	23	101	109	2
3227	20	109	144	2
3229	26	144	139	2
3231	22	139	143	2
3206	25	105	109	3
3218	21	109	101	3
3228	26	101	121	3
3233	20	121	123	3
3235	26	123	104	3
3201	22	149	117	4
3203	21	117	126	4
3217	21	126	121	4
3239	20	121	101	4
3241	26	101	102	4
3201	23	136	114	5
3203	20	114	119	5
3206	24	119	112	5
3212	26	112	117	5
3214	22	117	126	5
3237	21	126	121	5
3250	23	121	126	5
3252	20	126	117	5
3254	26	117	112	5
3256	22	112	119	5
3258	21	119	114	5
3260	25	114	135	5
3201	21	137	110	6
3204	26	110	112	6
3230	20	112	117	6
3232	26	117	126	6
3254	24	126	121	6
3263	23	121	108	6
3401	23	147	143	1
3403	20	143	139	1
3405	26	139	144	1
3407	22	144	109	1
3409	21	109	101	1
3411	25	101	121	1
3419	26	121	126	1
3421	22	126	117	1
3423	21	117	146	1
3424	20	117	146	1
3428	22	117	113	1
3429	23	113	146	1
3401	21	144	109	2
3403	25	109	101	2
3405	24	101	121	2
3423	20	121	101	2
3425	26	101	109	2
3426	24	101	109	2
3427	22	109	144	2
3429	21	144	139	2
3431	25	139	143	2
3406	23	105	109	3
3418	24	109	101	3
3428	21	101	121	3
3433	22	121	123	3
3435	21	123	104	3
3401	25	149	117	4
3403	24	117	126	4
3417	24	126	121	4
3439	22	121	101	4
3441	21	101	102	4
3401	26	136	114	5
3403	22	114	119	5
3406	20	119	112	5
3412	21	112	117	5
3414	25	117	126	5
3437	24	126	121	5
3450	26	121	126	5
3452	22	126	117	5
3454	21	117	112	5
3456	25	112	119	5
3458	24	119	114	5
3460	23	114	135	5
3401	24	137	110	6
3404	21	110	112	6
3430	22	112	117	6
3432	21	117	126	6
3454	20	126	121	6
3463	26	121	108	6
3601	26	147	143	1
3603	22	143	139	1
3605	21	139	144	1
3607	25	144	109	1
3609	24	109	101	1
3611	23	101	121	1
3619	21	121	126	1
3621	25	126	117	1
3623	24	117	146	1
3601	24	144	109	2
3603	23	109	101	2
3605	20	101	121	2
3623	22	121	101	2
3625	21	101	109	2
3627	25	109	144	2
3629	24	144	139	2
3631	23	139	143	2
3606	26	105	109	3
3618	20	109	101	3
3628	24	101	121	3
3633	25	121	123	3
3635	24	123	104	3
3601	23	149	117	4
3603	20	117	126	4
3617	20	126	121	4
3639	25	121	101	4
3641	24	101	102	4
3601	21	136	114	5
3603	25	114	119	5
3606	22	119	112	5
3612	24	112	117	5
3614	23	117	126	5
3615	21	117	126	5
3637	20	126	121	5
3650	21	121	126	5
3652	25	126	117	5
3654	24	117	112	5
3656	23	112	119	5
3658	20	119	114	5
3660	26	114	135	5
3601	20	137	110	6
3604	24	110	112	6
3630	25	112	117	6
3632	24	117	126	6
3654	22	126	121	6
3663	21	121	108	6
3801	21	147	143	1
3803	25	143	139	1
3805	24	139	144	1
3807	23	144	109	1
3809	20	109	101	1
3811	26	101	121	1
3819	24	121	126	1
3821	23	126	117	1
3823	20	117	146	1
3801	20	144	109	2
3803	26	109	101	2
3805	22	101	121	2
3823	25	121	101	2
3825	24	101	109	2
3827	23	109	144	2
3829	20	144	139	2
3831	26	139	143	2
3806	21	105	109	3
3818	22	109	101	3
3828	20	101	121	3
3833	23	121	123	3
3835	20	123	104	3
3801	26	149	117	4
3803	22	117	126	4
3817	22	126	121	4
3839	23	121	101	4
3841	20	101	102	4
3801	24	136	114	5
